company_name,attack,year_attack,Size_of_Group_Composition,BvD_independent_indicator,Number_of_shareholders,Number_of_effective_beneficiaries_def_10_10,Number_of_effective_beneficiaries_def_10_50,Number_of_effective_beneficiaries_def_25_25,Number_of_leaders,Number_of_current_leaders,Number_of_Previous_Leader,DM_As_any_category,Manager_Gender,Manager_Age,Manager_Age_group,Director_Also_shareholder,Manager_Number_of_companies_in_which_a_function_is_held,diffmoy_Price_earnings_per_share_average,diffmoy_Average_share_return,diffmoy_Capitalization_Equity,diffmoy_Capitalization_Total_balance_sheet_Tobins_Q,diffmoy_Equity_per_share_EUR,diffmoy_Bankruptcy_probability,diffmoy_Debt_coefficient,diffmoy_Solvency,diffmoy_Returns_invested_capital,diffmoy_Returns_net_equity,diffmoy_ROA_from_profit_before_taxes,diffmoy_ROCE_from_net_income1,diffmoy_R&D_expenditure_Operating_income,diffmoy_Performance
AMUNDI ETF MSCI WORLD EX EMU UCITS ETF,0,,0,U,2,0,0,0,2,1,1,Non,H,53,46 - 55,Non,10,,,,,,,,,,,,,,
AMUNDI ETF PEA JAPAN TOPIX UCITS ETF,0,,0,U,2,0,0,0,0,0,0,,,53,46 - 55,,0,,,,,,,,,,,,,,
AMUNDI ETF PEA MSCI EM LATIN AMERICA UCITS ETF,0,,0,U,2,0,0,0,0,0,0,,,53,46 - 55,,0,,,,,,,,,,,,,,
AMUNDI ETF PEA MSCI EMERGING ASIA UCITS ETF,0,,0,U,2,0,0,0,0,0,0,,,53,46 - 55,,0,,,,,,,,,,,,,,
AMUNDI ETF PEA MSCI EMERGING MARKETS UCITS ETF,0,,0,U,2,0,0,0,0,0,0,,,53,46 - 55,,0,,,,,,,,,,,,,,
AMUNDI ETF PEA MSCI EUROPE UCITS ETF,0,,0,U,2,0,0,0,0,0,0,,,53,46 - 55,,0,,,,,,,,,,,,,,
AMUNDI ETF PEA NASDAQ-100 UCITS ETF,0,,0,U,2,0,0,0,0,0,0,,,53,46 - 55,,0,,,,,,,,,,,,,,
AMUNDI ETF PEA S&P 500 UCITS ETF,0,,0,U,2,0,0,0,0,0,0,,,53,46 - 55,,0,,,,,,,,,,,,,,
AMUNDI ETF SHORT CAC 40 DAILY UCITS ETF,0,,0,U,2,0,0,0,0,0,0,,,53,46 - 55,,0,,,,,,,,,,,,,,
AMUNDI ETF SHORT EURO STOXX 50 DAILY UCITS ETF,0,,0,U,2,0,0,0,1,1,0,Non,H,53,46 - 55,Non,8,,,,,,,,,,,,,,
AMUNDI ETF SHORT GOVT BOND EUROMTS BROAD INVESTMENT GRADE 10-15 DAILY UCITS ETF,0,,0,U,2,0,0,0,2,1,1,Non,H,53,46 - 55,Non,12,,,,,,,,,,,,,,
AMUNDI ETF SHORT MSCI USA DAILY UCITS ETF,0,,0,U,2,0,0,0,2,1,1,Non,H,53,46 - 55,Non,6,,,,,,,,,,,,,,
AMUNDI ETF SHORT US TREASURY 7-10 DAILY UCITS ETF,0,,0,U,2,0,0,0,2,1,1,Non,H,53,46 - 55,Non,12,,,,,,,,,,,,,,
AMUNDI ETF STOXX EUROPE 50 UCITS ETF,0,,0,U,2,0,0,0,2,1,1,Non,F,47,46 - 55,Non,15,,,,,,,,,,,,,,
AMUNDI SA,0,,2015,D,34,0,0,0,74,55,32,Oui,H,60,56 - 65,Non,74,-15.19898423,,-1.986606707,-1.004887538,-69.27142759,-2.773921201,,,,18.56431974,7.661390977,,,43.7519096
