nom_entreprise,attaque,Taille.de.la.Composition.du.Groupe,Indic..d.indép..BvD,Nombre.d.actionnaires,Nombre.de.bénéficiaires.effectifs..déf.10..10..,Nombre.de.bénéficiaires.effectifs..déf.10..50..,Nombre.de.bénéficiaires.effectifs..déf.25..25..,Nombre.de.dirigeants,Nombre.de.dirigeants.actuels,Nombre.de.dirigeants.précédents,DM..As.any.category,Dirigeant..Sexe,Dirigeant..Age,Dirigeant..Tranche.d.âge,Dirigeant..Aussi.actionnaire,Dirigeant..Nombre.d.entreprises.dans.lesquelles.une.fonction.est.exercée,diffmoy_Cours...bénéfice.par.action...moyenne,diffmoy_Capitalisation...Capitaux.propres,diffmoy_Capitalisation...Total.du.bilan..Tobin.s.Q,diffmoy_Capitaux.propres.par.action..EUR,diffmoy_Probabilité.de.faillite,diffmoy_Coefficient.d.endettement,diffmoy_Solvabilité,diffmoy_Rend..du.capital.investi,diffmoy_Rend..des.capitaux.propres.nets,diffmoy_ROA.à.partir.du.résultat.av..impôts,diffmoy_ROCE.à.partir.du.revenu.net1,diffmoy_Dépenses.de.R.D...Produit.d.exploitation,diffmoy_Performance
HIGH CO,0,3741,B+,13,1,1,0,30,20,26,Non,F,48,46 - 55,Non,4,83.91501577,-1.279606707,-0.883887538,-105.5664276,0.226078799,-3.194029851,-4.166311301,14.40887368,14.02831974,4.621390977,10.03076012,-2.130997054,-1.085090395
HIOLLE INDUSTRIES,0,15,D,6,3,3,2,19,10,16,Non,H,53,46 - 55,Non,8,-14.33798423,-2.108606707,-1.018887538,-105.7564276,-0.773921201,2.805970149,0.833688699,19.11687368,20.38931974,9.088390977,15.59176012,-2.130997054,0.831909605
HOPSCOTCH GROUPE,0,38,A+,14,4,4,0,39,29,20,Non,H,53,46 - 55,Non,1,-6.908984234,-1.815606707,-1.356887538,-103.3914276,3.226078799,-3.194029851,-4.166311301,18.91087368,20.41731974,4.197390977,14.46276012,-2.130997054,-3.375090395
ICADE,0,294,B+,58,0,0,0,77,35,54,Oui,H,63,56 - 65,Non,69,55.46101577,-2.018606707,-1.103887538,-53.51142759,-1.773921201,2.805970149,1.833688699,10.70187368,8.834319737,2.828390977,11.36076012,-2.130997054,2.617909605
IGE+XAO,0,1124,D,20,0,0,0,22,15,12,Non,H,58,56 - 65,Oui,26,-10.44198423,-0.468606707,0.391112462,-83.25242759,-1.773921201,2.805970149,3.833688699,27.21187368,27.24931974,16.92139098,22.77876012,21.69600295,21.5589096
ILIAD,0,49,C+,53,1,1,1,25,20,16,Oui,H,53,46 - 55,Oui,26,1.887015766,0.336393293,-0.298887538,-57.82242759,-2.773921201,-3.194029851,-4.166311301,19.85487368,27.68231974,9.582390977,16.96676012,-2.130997054,8.933909605
IMERYS,0,674,D,43,7,7,7,65,34,47,Non,H,66,66 - 75,Non,23,-11.14398423,-1.275606707,-0.752887538,-72.21542759,-1.773921201,-3.194029851,-2.166311301,16.98487368,21.10231974,8.205390977,15.55176012,-2.130997054,5.748909605
IMPRIMERIE CHIRAT,0,5,D,3,1,1,1,9,6,7,Non,H,63,56 - 65,Oui,8,-21.81998423,-2.088606707,-1.257887538,-102.3494276,0.226078799,-0.194029851,1.833688699,17.53787368,29.14331974,8.628390977,16.64976012,-2.130997054,1.315909605
INGENICO GROUP,0,162,A+,88,0,0,0,55,49,21,Non,H,76,> 75,Non,23,-4.709984234,-0.516606707,-0.479887538,-81.01542759,-1.773921201,-3.194029851,-4.166311301,20.06387368,26.49731974,10.12939098,17.80476012,5.571002946,10.3069096
INSTALLUX SA,0,8,D,10,4,4,1,22,15,12,Non,H,72,66 - 75,Non,8,-18.19198423,-1.938606707,-0.559887538,170.8955724,-1.773921201,3.805970149,5.833688699,23.41287368,22.54531974,14.87739098,19.66776012,-2.130997054,7.261909605
INTERPARFUMS,0,19,D,18,2,0,0,30,21,14,Oui,H,61,56 - 65,Non,256,-3.074984234,-0.837606707,0.088112462,-100.2834276,-1.773921201,2.805970149,1.833688699,18.54887368,18.56031974,10.47439098,15.99176012,-2.130997054,8.840909605
IPSEN,0,69,B+,42,2,2,2,51,36,24,Non,H,62,56 - 65,Non,3,-6.640984234,0.970393293,0.764112462,-92.53842759,-0.773921201,0.805970149,-0.166311301,23.66587368,27.98631974,14.01139098,21.09476012,11.65300295,13.0309096
